model,policy,split,threshold,selected,n_trade_days,n_trades,gross_pnl,net_pnl,total_cost,turnover,net_pnl_per_trade,cost_survival,max_drawdown
sgd_stage3,cost_aware_threshold,valid,3.3889986e-05,False,59,359606,21163.11724319945,-50739.21098575616,71902.32822895562,5838.83597959898,-0.1410966752105253,-2.397530118208871,-50739.22219350262
sgd_stage3,cost_aware_threshold,valid,4.3093848e-05,False,59,301951,17657.446854139333,-42716.17956536952,60373.62641950887,4904.427565418771,-0.1414672564931711,-2.419159458229139,-42716.37573277932
sgd_stage3,cost_aware_threshold,valid,5.3972487e-05,False,59,240406,13809.785284989974,-34257.77628576205,48067.561570752034,3906.253847118678,-0.1424996725778975,-2.480688553716852,-34258.0708692239
sgd_stage3,cost_aware_threshold,valid,6.7484701e-05,False,59,173905,9746.211290908155,-25024.36463385239,34770.57592476055,2826.8010517506905,-0.1438967518694252,-2.5675992328625794,-25025.38622624856
sgd_stage3,cost_aware_threshold,valid,8.6582886e-05,False,58,98832,5158.925304168904,-14601.17371301866,19760.09901718756,1606.8698911463214,-0.1477373088981166,-2.8302743017464347,-14602.863235666186
sgd_stage3,cost_aware_threshold,valid,0.000101907941,False,58,54575,2651.5252375985992,-8259.806796846457,10911.332034445057,887.6560441751557,-0.1513478112111123,-3.115115285241296,-8259.755021301957
sgd_stage3,cost_aware_threshold,valid,0.00011430289,False,58,29134,1229.4878912208164,-4595.321918970393,5824.809810191209,473.77333599895456,-0.1577305525835928,-3.737590220923186,-4596.841402463705
sgd_stage3,cost_aware_threshold,valid,0.000127427957,True,58,12383,533.6263140082094,-1942.149436346653,2475.7757503548623,201.29763280792287,-0.1568399770933257,-3.639530857761963,-1942.097660802165
sgd_stage3,RSEP-full,valid,0.0,False,59,146303,9291.940757220837,-19962.144147800856,29254.08490502168,2369.889701693944,-0.1364438470010926,-2.148328822726095,-19962.52307682048
sgd_stage3,RSEP-full,valid,2.4625701e-05,False,59,85847,5417.182965594249,-11747.980945106174,17165.163910700423,1392.6777718513945,-0.1368478915408363,-2.1686513118940693,-11748.75732006954
sgd_stage3,RSEP-full,valid,3.1899891e-05,False,59,71961,4570.929393886997,-9817.622521749374,14388.55191563637,1167.6755436713374,-0.1364297678151967,-2.14783946014986,-9818.28610087698
sgd_stage3,RSEP-full,valid,4.0931284e-05,False,59,56793,3693.3335150038665,-7662.260568540345,11355.594083544212,921.6221790711372,-0.1349155805916282,-2.0746191854629528,-7664.173356657458
sgd_stage3,RSEP-full,valid,5.3034836e-05,False,59,40243,2667.7380735717743,-5378.621896906667,8046.359970478441,653.0780250423959,-0.1336536017917816,-2.016173158148676,-5379.107918941943
sgd_stage3,RSEP-full,valid,7.1312941e-05,False,58,21681,1285.8923111333545,-3048.996400084309,4334.888711217664,351.8520685275571,-0.1406298786995207,-2.371113330164481,-3049.7263998373883
sgd_stage3,RSEP-full,valid,8.6183453e-05,False,58,11385,712.7717715595475,-1563.5287084376023,2276.30047999715,184.67226349770752,-0.137332341540413,-2.193589548329889,-1564.1684416204112
sgd_stage3,RSEP-full,valid,9.8641055e-05,True,58,5868,455.68563137517714,-717.5373259006718,1173.2229572758488,95.19064443007252,-0.1222797078903667,-1.5746323265345747,-717.6213864015872
sgd_stage3,RSEP-full,valid,0.000111023276,False,58,2375,208.5502000508354,-266.29590310645426,474.8461031572897,38.55466277960743,-0.1121245907816649,-1.276891141996234,-271.98738901645424
xgboost_gpu_stage3,naive_threshold,valid,0.5,True,58,81460,4199.978066225459,-12086.19116887178,16286.16923509724,1349.1266195330545,-0.1483696436149248,-2.877679592201704,-12086.13933114805
xgboost_gpu_stage3,naive_threshold,valid,0.55,False,49,851,94.02372323456257,-76.10444117469146,170.12816440925403,14.718224011663386,-0.0894294255871815,-0.8094174380313831,-83.32822102387486
xgboost_gpu_stage3,naive_threshold,valid,0.6,False,0,0,0.0,0.0,0.0,0.0,0.0,,0.0
xgboost_gpu_stage3,naive_threshold,valid,0.65,False,0,0,0.0,0.0,0.0,0.0,0.0,,0.0
xgboost_gpu_stage3,naive_threshold,valid,0.7,False,0,0,0.0,0.0,0.0,0.0,0.0,,0.0
xgboost_gpu_stage3,naive_threshold,valid,0.75,False,0,0,0.0,0.0,0.0,0.0,0.0,,0.0
xgboost_gpu_stage3,naive_threshold,valid,0.8,False,0,0,0.0,0.0,0.0,0.0,0.0,,0.0
xgboost_gpu_stage3,naive_threshold,valid,0.85,False,0,0,0.0,0.0,0.0,0.0,0.0,,0.0
xgboost_gpu_stage3,naive_threshold,valid,0.9,False,0,0,0.0,0.0,0.0,0.0,0.0,,0.0
xgboost_gpu_stage3,naive_threshold,valid,0.95,False,0,0,0.0,0.0,0.0,0.0,0.0,,0.0
xgboost_gpu_stage3,cost_aware_threshold,valid,0.0,False,59,285665,21016.88130985782,-36103.97843422159,57120.85974407942,4664.458527646506,-0.1263857260575205,-1.7178561320269377,-36103.97137185757
xgboost_gpu_stage3,cost_aware_threshold,valid,1.237731e-05,False,59,162482,12701.579091055384,-19787.914679766385,32489.49377082177,2669.460764724396,-0.1217852727056928,-1.5579098108912528,-19788.648208568506
xgboost_gpu_stage3,cost_aware_threshold,valid,1.515148e-05,False,59,134936,10655.74184178313,-16325.802519826168,26981.5443616093,2222.416212923682,-0.120989228373645,-1.5321131801269512,-16327.88412998504
xgboost_gpu_stage3,cost_aware_threshold,valid,1.8195294e-05,False,59,105366,8429.152518079001,-12639.696724110334,21068.849242189342,1741.0216584388077,-0.1199599180391239,-1.4995216538080762,-12642.618332653845
xgboost_gpu_stage3,cost_aware_threshold,valid,2.1737542e-05,False,59,73485,5935.602705256905,-8758.356648531888,14693.95935378879,1221.0562817413656,-0.1191856385457152,-1.4755631539784482,-8759.125002569204
xgboost_gpu_stage3,cost_aware_threshold,valid,2.6689798e-05,False,59,38638,3045.078996600605,-4680.916209296281,7725.995205896886,649.6934236321262,-0.1211479944431979,-1.5372068227201507,-4682.145148187886
xgboost_gpu_stage3,cost_aware_threshold,valid,3.080195e-05,False,58,20103,1513.3282511903722,-2506.443371598501,4019.771622788872,342.8317899051991,-0.1246800662387952,-1.6562456754685917,-2508.548905975537
