model,policy,split,threshold,selected,n_trade_days,n_trades,gross_pnl,net_pnl,total_cost,turnover,net_pnl_per_trade,cost_survival,max_drawdown
sgd_btc_stage3_purged,cost_aware_threshold,valid,5.309152e-05,False,59,238143,13637.452574348326,-33977.586888440484,47615.039462788816,3869.6044637955847,-0.14267724387632844,-2.4914907460320994,-33977.92384429573
sgd_btc_stage3_purged,cost_aware_threshold,valid,6.6541915e-05,False,59,172293,9485.235237204419,-24962.98913879507,34448.22437599948,2800.670367733088,-0.14488684472842814,-2.631773331343589,-24964.43547838171
sgd_btc_stage3_purged,cost_aware_threshold,valid,8.5643757e-05,False,59,97936,5094.860607137213,-14486.098802022716,19580.959409159932,1592.386722841311,-0.14791393156778626,-2.8432767683044444,-14488.039251352633
sgd_btc_stage3_purged,cost_aware_threshold,valid,0.000101058299,False,58,54091,2645.2168669963717,-8169.337910382843,10814.554777379217,879.8080472640778,-0.15102952266334219,-3.0883433461767837,-8169.31444386981
sgd_btc_stage3_purged,cost_aware_threshold,valid,0.000113539808,False,58,28853,1224.2726199607994,-4544.351689334803,5768.624309295603,469.2223212696374,-0.15750014519581337,-3.711878886485521,-4545.926909268015
sgd_btc_stage3_purged,cost_aware_threshold,valid,0.000126666764,True,58,12247,514.2448599017143,-1934.3377313088579,2448.582591210572,199.1357198876658,-0.1579438010377119,-3.7615110663012956,-1934.285955764368
sgd_btc_stage3_purged,RSEP-full,valid,0.0,False,59,144610,9194.661241082471,-19720.87109598254,28915.53233706502,2342.9077740401312,-0.136372803374473,-2.144817582606321,-19721.71358179114
sgd_btc_stage3_purged,RSEP-full,valid,2.4097422e-05,False,59,84874,5339.60652126814,-11630.989002621367,16970.595523889508,1376.9172498744074,-0.1370383038695168,-2.1782483327739746,-11631.985527694427
sgd_btc_stage3_purged,RSEP-full,valid,3.1292063e-05,False,59,71159,4520.378037332558,-9707.802822746964,14228.180860079523,1154.6419576144756,-0.1364241040872829,-2.147564372398258,-9708.686551984272
sgd_btc_stage3_purged,RSEP-full,valid,4.0372836e-05,False,59,56079,3667.6005612572612,-7545.220718206266,11212.821279463527,910.0702931792007,-0.13454627789736381,-2.0572634866267303,-7546.579823369432
sgd_btc_stage3_purged,RSEP-full,valid,5.2446927e-05,False,59,39705,2613.81796830223,-5324.965075996382,7938.783044298614,644.3323209409652,-0.13411321183720898,-2.0372363877562374,-5326.016946421071
sgd_btc_stage3_purged,RSEP-full,valid,7.0783561e-05,False,58,21331,1264.2585782078309,-3000.647526886374,4264.906105094205,346.20567429025255,-0.14067073868484245,-2.373444466669143,-3001.719403502374
sgd_btc_stage3_purged,RSEP-full,valid,8.5690505e-05,False,58,11193,700.5182367040597,-1537.393437637271,2237.9116743413306,181.5798381631477,-0.1373531169156858,-2.194651555212483,-1538.3150904483816
sgd_btc_stage3_purged,RSEP-full,valid,9.8234061e-05,True,58,5764,435.1006730753949,-717.3301481734611,1152.430821248856,93.49492277119002,-0.12445006040483364,-1.648653271674349,-717.4142086743766
sgd_btc_stage3_purged,RSEP-full,valid,0.00011066601,False,58,2333,193.1889378530932,-273.2603878253306,466.4493256784238,37.86690193868794,-0.11712832740048462,-1.4144722304603496,-279.2063154370713
