model,model_type,regime,accuracy,macro_f1,weighted_f1,mcc,balanced_accuracy,n_rows
deeplob_faithful_lite_stage3_pilot,deeplob_faithful_lite,UNKNOWN,0.493243987227282,0.4254273055480044,0.4914249074816139,0.1433496572436123,0.4359191472273139,63573
deeplob_faithful_lite_stage3_pilot,deeplob_faithful_lite,VOLATILE_ILLIQUID,0.479926259729619,0.4203817430834126,0.4697599140411029,0.1488555769135262,0.4282717846229067,9764
deeplob_faithful_lite_stage3_pilot,deeplob_faithful_lite,VOLATILE_LIQUID,0.5,0.3829059829059829,0.5003846153846153,0.039810973407283,0.4118165784832451,40
deeplob_stage3_pilot,deeplob,BALANCED_TRANSITION,0.6346666666666667,0.2588363240891789,0.4928243610657966,0.0,0.3333333333333333,2250
deeplob_stage3_pilot,deeplob,CALM_ILLIQUID,0.7150259067357513,0.2779456193353474,0.5962149554654603,0.0,0.3333333333333333,579
deeplob_stage3_pilot,deeplob,CALM_LIQUID,0.5157232704402516,0.2268326417704011,0.3509486155692998,0.0,0.3333333333333333,159
deeplob_stage3_pilot,deeplob,CHOPPY_MEAN_REVERTING,0.3865086599817685,0.1858426473811089,0.2154893778202101,0.0,0.3333333333333333,1097
deeplob_stage3_pilot,deeplob,LIQUIDITY_DROUGHT,0.6477611940298508,0.2620772946859903,0.5092905040017304,0.0,0.3333333333333333,335
deeplob_stage3_pilot,deeplob,MILD_LIQUIDITY_STRESS,0.6657496561210454,0.2664464629782548,0.5321599233073261,0.0,0.3333333333333333,1454
deeplob_stage3_pilot,deeplob,MOMENTUM_TOXIC,0.5356725146198831,0.2325463315562325,0.3737060345710685,0.0,0.3333333333333333,1710
deeplob_stage3_pilot,deeplob,SHOCK_RECOVERY,0.5480349344978166,0.236013164080865,0.388030376753038,0.0,0.3333333333333333,916
deeplob_stage3_pilot,deeplob,UNKNOWN,0.5693069306930693,0.241850683491062,0.4130618109129524,0.0,0.3333333333333333,1212
deeplob_stage3_pilot,deeplob,VOLATILE_ILLIQUID,0.5208333333333334,0.228310502283105,0.3567351598173516,0.0,0.3333333333333333,288
lob_transformer_stage3_pilot,lob_transformer,BALANCED_TRANSITION,0.6346666666666667,0.2588363240891789,0.4928243610657966,0.0,0.3333333333333333,2250
lob_transformer_stage3_pilot,lob_transformer,CALM_ILLIQUID,0.7150259067357513,0.2779456193353474,0.5962149554654603,0.0,0.3333333333333333,579
lob_transformer_stage3_pilot,lob_transformer,CALM_LIQUID,0.5157232704402516,0.2268326417704011,0.3509486155692998,0.0,0.3333333333333333,159
lob_transformer_stage3_pilot,lob_transformer,CHOPPY_MEAN_REVERTING,0.3865086599817685,0.1858426473811089,0.2154893778202101,0.0,0.3333333333333333,1097
lob_transformer_stage3_pilot,lob_transformer,LIQUIDITY_DROUGHT,0.6477611940298508,0.2620772946859903,0.5092905040017304,0.0,0.3333333333333333,335
lob_transformer_stage3_pilot,lob_transformer,MILD_LIQUIDITY_STRESS,0.6650618982118295,0.2662811510395154,0.5318297542082205,-0.01354390696613,0.3329889807162534,1454
lob_transformer_stage3_pilot,lob_transformer,MOMENTUM_TOXIC,0.5350877192982456,0.2323809523809523,0.3734402673350042,-0.0156666065022979,0.3329694323144105,1710
lob_transformer_stage3_pilot,lob_transformer,SHOCK_RECOVERY,0.5480349344978166,0.236013164080865,0.388030376753038,0.0,0.3333333333333333,916
lob_transformer_stage3_pilot,lob_transformer,UNKNOWN,0.5684818481848185,0.2416272137471506,0.4126801422909255,-0.017190367079786,0.3328502415458937,1212
lob_transformer_stage3_pilot,lob_transformer,VOLATILE_ILLIQUID,0.5208333333333334,0.228310502283105,0.3567351598173516,0.0,0.3333333333333333,288
deeplob_cnn_lstm_purged_subsample,deeplob,BALANCED_TRANSITION,0.4609802073515551,0.339700379957962,0.4751599878287136,0.0101317571129253,0.3427647810706902,10610
deeplob_cnn_lstm_purged_subsample,deeplob,CALM_ILLIQUID,0.4754973313925279,0.3501297363724816,0.4935603027152205,0.0214494296874582,0.354566347391509,2061
deeplob_cnn_lstm_purged_subsample,deeplob,CALM_LIQUID,0.4871456822676335,0.3763692452990857,0.4989939529400133,0.0723237057309805,0.3798494523657327,1517
deeplob_cnn_lstm_purged_subsample,deeplob,CHOPPY_MEAN_REVERTING,0.3556673253098616,0.3303991671629274,0.3378058462223663,0.0135179736113047,0.3419797842163456,5567
deeplob_cnn_lstm_purged_subsample,deeplob,LIQUIDITY_DROUGHT,0.4322533136966127,0.3435424773452942,0.4320405786418356,0.0171734751249674,0.3421505485992384,1358
deeplob_cnn_lstm_purged_subsample,deeplob,MILD_LIQUIDITY_STRESS,0.4533419023136247,0.326742562686434,0.4680360567578752,-0.0040509053817264,0.3317189706849917,7780
deeplob_cnn_lstm_purged_subsample,deeplob,MOMENTUM_TOXIC,0.4251470425036067,0.3591113420204609,0.4219559442225625,0.0379669532104838,0.3589375963806138,9011
deeplob_cnn_lstm_purged_subsample,deeplob,SHOCK_RECOVERY,0.4485432823307482,0.358082035717679,0.4537912190472857,0.0382478059127541,0.3592585019443322,4771
deeplob_cnn_lstm_purged_subsample,deeplob,UNKNOWN,0.4351940968880333,0.3472231402680936,0.4318229078430697,0.0201812660164102,0.3474039858324411,6234
deeplob_cnn_lstm_purged_subsample,deeplob,VOLATILE_ILLIQUID,0.4075785582255083,0.3497075078047971,0.3970375308414244,0.0233454307090075,0.3500453885257806,1082
deeplob_cnn_lstm_purged_subsample,deeplob,VOLATILE_LIQUID,0.4444444444444444,0.3888888888888888,0.6111111111111112,0.3686048903872428,0.2777777777777777,9
deeplob_cnn_lstm_stage3_full,deeplob,BALANCED_TRANSITION,0.6348566308243727,0.2588837124326299,0.49306212435085556,0.0,0.3333333333333333,2232
deeplob_cnn_lstm_stage3_full,deeplob,CALM_ILLIQUID,0.7054794520547946,0.27576974564926376,0.583649667161798,0.0,0.3333333333333333,584
deeplob_cnn_lstm_stage3_full,deeplob,CALM_LIQUID,0.5123456790123457,0.22585034013605443,0.34714033761652807,0.0,0.3333333333333333,162
deeplob_cnn_lstm_stage3_full,deeplob,CHOPPY_MEAN_REVERTING,0.39336917562724016,0.1882100750267953,0.22210812617409442,0.0,0.3333333333333333,1116
deeplob_cnn_lstm_stage3_full,deeplob,LIQUIDITY_DROUGHT,0.6528189910979229,0.2633153800119689,0.5156918421599391,0.0,0.3333333333333333,337
deeplob_cnn_lstm_stage3_full,deeplob,MILD_LIQUIDITY_STRESS,0.6650717703349283,0.26628352490421453,0.5312929659572128,0.0,0.3333333333333333,1463
deeplob_cnn_lstm_stage3_full,deeplob,MOMENTUM_TOXIC,0.5452941176470588,0.23524933384088312,0.3848402337714682,0.0,0.3333333333333333,1700
deeplob_cnn_lstm_stage3_full,deeplob,SHOCK_RECOVERY,0.5519125683060109,0.23708920187793425,0.392557530978219,0.0,0.3333333333333333,915
deeplob_cnn_lstm_stage3_full,deeplob,UNKNOWN,0.5630182421227198,0.24014146772767464,0.40561208106241564,0.0,0.3333333333333333,1206
deeplob_cnn_lstm_stage3_full,deeplob,VOLATILE_ILLIQUID,0.5228070175438596,0.22887864823348694,0.3589780903872585,0.0,0.3333333333333333,285
