model,policy,regime,gross_pnl,net_pnl,n_trades,threshold
tcn_gpu_stage3,tcn_gpu_stage3_naive_threshold_tuned,CALM_LIQUID,-21.92406040083576,-31.51801022293509,48,0.6
tcn_gpu_stage3,tcn_gpu_stage3_naive_threshold_tuned,CHOPPY_MEAN_REVERTING,-225.4071262555324,-438.47492962288777,1066,0.6
tcn_gpu_stage3,tcn_gpu_stage3_naive_threshold_tuned,LIQUIDITY_DROUGHT,-11.808801030536676,-18.403039860159996,33,0.6
tcn_gpu_stage3,tcn_gpu_stage3_naive_threshold_tuned,MILD_LIQUIDITY_STRESS,-33.41876071092718,-80.7887663365193,237,0.6
tcn_gpu_stage3,tcn_gpu_stage3_naive_threshold_tuned,MOMENTUM_TOXIC,-34.2857185299295,-178.19303165160693,720,0.6
tcn_gpu_stage3,tcn_gpu_stage3_naive_threshold_tuned,SHOCK_RECOVERY,-71.34974165864459,-142.10778439394997,354,0.6
tcn_gpu_stage3,tcn_gpu_stage3_naive_threshold_tuned,UNKNOWN,-55.01655920287898,-137.76467016849455,414,0.6
tcn_gpu_stage3,tcn_gpu_stage3_naive_threshold_tuned,VOLATILE_ILLIQUID,-100.88856810549804,-110.47267219769394,48,0.6
tcn_gpu_stage3,tcn_gpu_stage3_cost_aware_threshold_tuned,BALANCED_TRANSITION,6.555241912286482,-4.242085636497868,54,3.6714177e-05
tcn_gpu_stage3,tcn_gpu_stage3_cost_aware_threshold_tuned,CALM_ILLIQUID,-17.308062730548112,-17.90622554345361,3,3.6714177e-05
tcn_gpu_stage3,tcn_gpu_stage3_cost_aware_threshold_tuned,CALM_LIQUID,-5.50026062587681,-11.497431582818251,30,3.6714177e-05
tcn_gpu_stage3,tcn_gpu_stage3_cost_aware_threshold_tuned,CHOPPY_MEAN_REVERTING,-29.529031641032248,-61.11479954907736,158,3.6714177e-05
tcn_gpu_stage3,tcn_gpu_stage3_cost_aware_threshold_tuned,LIQUIDITY_DROUGHT,-2.922837831040347,-4.122329265858939,6,3.6714177e-05
tcn_gpu_stage3,tcn_gpu_stage3_cost_aware_threshold_tuned,MILD_LIQUIDITY_STRESS,-16.719266151504293,-25.715119397863056,45,3.6714177e-05
tcn_gpu_stage3,tcn_gpu_stage3_cost_aware_threshold_tuned,MOMENTUM_TOXIC,-10.87196894965464,-49.455278620776085,193,3.6714177e-05
tcn_gpu_stage3,tcn_gpu_stage3_cost_aware_threshold_tuned,SHOCK_RECOVERY,5.1215167961922905,-8.87329532289559,70,3.6714177e-05
tcn_gpu_stage3,tcn_gpu_stage3_cost_aware_threshold_tuned,UNKNOWN,-9.295652327379305,-27.488385425806943,91,3.6714177e-05
tcn_gpu_stage3,tcn_gpu_stage3_cost_aware_threshold_tuned,VOLATILE_ILLIQUID,-12.502083138004991,-13.699329098745643,6,3.6714177e-05
tcn_gpu_stage3,tcn_gpu_stage3_RSEP-full_tuned,BALANCED_TRANSITION,18.98794772382876,-25.80177027237604,224,1.4391646e-05
tcn_gpu_stage3,tcn_gpu_stage3_RSEP-full_tuned,CALM_ILLIQUID,2.9934560380493327,0.7942604847385387,11,1.4391646e-05
tcn_gpu_stage3,tcn_gpu_stage3_RSEP-full_tuned,CALM_LIQUID,-8.636955596920814,-25.63161293362753,85,1.4391646e-05
tcn_gpu_stage3,tcn_gpu_stage3_RSEP-full_tuned,CHOPPY_MEAN_REVERTING,0.8067481231474546,-11.18871665999218,60,1.4391646e-05
tcn_gpu_stage3,tcn_gpu_stage3_RSEP-full_tuned,LIQUIDITY_DROUGHT,-0.5371581143655044,-1.1370680116779777,3,1.4391646e-05
tcn_gpu_stage3,tcn_gpu_stage3_RSEP-full_tuned,MILD_LIQUIDITY_STRESS,0.966252315980972,-10.4299426170693,57,1.4391646e-05
tcn_gpu_stage3,tcn_gpu_stage3_RSEP-full_tuned,MOMENTUM_TOXIC,-5.088051133447758,-14.484639443830224,47,1.4391646e-05
