symbol,split,feature,mean,std,p05,p25,median,p75,p95,sample_rows,sample_seed,sample_method,eth_btc_mean_ratio,eth_btc_median_ratio
BTC-USDT,train,realized_vol_20,1.5257688573910855e-05,2.8107404432375915e-05,0.0,0.0,5.0503910387078577e-08,2.2801598333899165e-05,5.9907309150730766e-05,600778,7,deterministic_row_hash_sample,1.903040211120573,371.79069088036954
BTC-USDT,train,realized_vol_100,1.9919867554563098e-05,2.5370200091856532e-05,0.0,5.3795762369190925e-06,1.4372246823768364e-05,2.6311045075999573e-05,5.908787552471042e-05,600778,7,deterministic_row_hash_sample,1.781204071239477,1.8468157395189133
BTC-USDT,train,vol_score,0.019837886095046997,1.350528359413147,-1.8482301235198975,-0.9010948091745377,-0.13861893862485886,0.8864464610815048,2.23510833978653,600778,7,deterministic_row_hash_sample,0.02896114180014542,1.0742858457395517
BTC-USDT,train,abs_future_ret_h,0.00016293604858219624,0.0002643174375407398,0.0,0.0,8.24594171717763e-05,0.00022000118406140245,0.000600997416768223,600778,7,deterministic_row_hash_sample,1.6081608448067677,1.9649323894110156
BTC-USDT,valid,mid_price,62269.98828125,3983.627197265625,55228.0078125,59063.95703125,62609.9921875,65730.0,68238.0,200302,7,deterministic_row_hash_sample,0.040368528598090085,0.040084253599197116
BTC-USDT,valid,spread,0.012399089522659779,0.20485734939575195,0.0078125,0.0078125,0.01171875,0.01171875,0.015625,200302,7,deterministic_row_hash_sample,0.8208680548748515,0.8541666666666666
BTC-USDT,valid,rel_spread,2.0110451259824913e-07,3.4400086406094488e-06,1.1466038785101773e-07,1.2314497155330173e-07,1.8530417378315178e-07,1.9821298735678283e-07,2.276061444206334e-07,200302,7,deterministic_row_hash_sample,20.171237592810133,21.508314274754284
BTC-USDT,valid,top_of_book_depth,7.870237350463867,5.024566650390625,3.55470290184021,5.540245175361633,7.241960048675537,9.280894994735718,13.311395931243892,200302,7,deterministic_row_hash_sample,7.873785798363704,7.934219022747075
BTC-USDT,valid,total_depth_10,9.789323806762695,5.737174987792969,4.74142427444458,6.9796881675720215,8.99209451675415,11.446805477142334,16.287021923065165,200302,7,deterministic_row_hash_sample,10.199600383834152,10.465603576325941
BTC-USDT,valid,realized_vol_20,8.251421604654752e-06,1.7231612218893133e-05,0.0,0.0,0.0,1.1971157846346614e-05,3.727065213752211e-05,200302,7,deterministic_row_hash_sample,2.0694143444378383,
